
IP Address	Port	Protocol	Country	Anonymity	Latency	Uptime	Alive since
64.225.4.17	9948	HTTP	Canada	Elite	2236ms	44.9%	9 minutes
140.130.44.10	9000	HTTP	Taiwan	Elite	1274ms	35.9%	7 minutes
193.70.42.240	80	HTTP	France	Elite	373ms	72.3%	3 hours
103.152.9.135	80	HTTP	Unkown	Elite	1947ms	97.8%	55 minutes
202.8.74.10	8080	HTTP	Cambodia	Anonymous	7216ms	37.6%	8 minutes
194.102.180.144	3128	HTTP	Romania	Anonymous	62ms	100%	2 hours
60.210.40.190	9091	HTTP	China	Elite	806ms	82.5%	8 hours
121.204.148.136	9002	HTTP	China	Anonymous	2932ms	79.6%	37 minutes
184.181.217.213	4145	Socks4	United States	Elite	1796ms	95.7%	27 minutes
101.43.188.199	2080	Socks5	China	Elite	9171ms	55.9%	17 minutes
142.54.235.9	4145	Socks4	United States	Elite	848ms	94.2%	34 minutes
190.136.50.67	3128	HTTP	Argentina	Anonymous	1338ms	64.5%	3 hours
121.42.233.132	81	HTTP	China	Elite	881ms	98.3%	3 hours
64.225.4.17	9978	HTTP	Canada	Elite	2118ms	35%	9 minutes
182.18.208.59	3128	HTTP	Philippines	Elite	405ms	99.6%	3 days
64.225.4.17	9931	HTTP	Canada	Elite	894ms	64.9%	9 minutes
198.199.86.11	8080	HTTP	United States	Elite	373ms	65.1%	9 minutes
64.139.79.35	8080	HTTP	United States	Anonymous	1930ms	44.2%	8 minutes
143.42.24.112	1080	Socks5	United States	Elite	34ms	96.1%	2 hours
121.89.218.157	3128	HTTP	China	Anonymous	1466ms	97%	50 minutes
183.173.251.200	4780	HTTP	China	Elite	2710ms	80.3%	1 hour
142.54.231.38	4145	Socks4	United States	Elite	839ms	94.1%	2 hours
183.234.85.26	9002	HTTP	China	Elite	982ms	53.5%	1 hour
43.255.113.232	8084	HTTP	Cambodia	Elite	1360ms	37.4%	9 minutes
124.13.181.7	80	HTTP	Malaysia	Anonymous	2360ms	70%	4 hours
72.195.34.58	4145	Socks5	United States	Elite	1410ms	66.8%	59 minutes
18.143.35.168	80	HTTP	United States	Elite	615ms	36.2%	8 minutes
103.149.130.38	80	HTTP	Unkown	Elite	417ms	90.7%	6 days
201.218.42.202	1994	HTTP	Ecuador	Anonymous	4781ms	60.6%	11 minutes
183.234.218.203	9002	HTTP	China	Elite	894ms	44.7%	50 minutes
120.27.18.161	8088	HTTP	China	Elite	887ms	94.3%	4 hours
120.197.160.2	9002	HTTP	China	Elite	950ms	47.2%	2 hours
64.225.4.17	9988	HTTP	Canada	Elite	1362ms	45.2%	10 minutes
43.255.113.232	8082	HTTP	Cambodia	Elite	2379ms	37%	15 minutes
120.82.174.128	9091	HTTP	China	Elite	685ms	87%	5 hours
64.225.4.85	9995	HTTP	Canada	Elite	4750ms	41.2%	15 minutes
120.236.74.217	9002	HTTP	China	Elite	2919ms	34.2%	20 minutes
64.225.4.17	9974	HTTP	Canada	Elite	1748ms	41.9%	9 minutes
192.111.139.165	4145	Socks5	United States	Elite	1880ms	69.9%	15 minutes
103.155.54.26	83	HTTP	Unkown	Anonymous	1619ms	32.5%	9 minutes
191.97.15.22	999	HTTP	Panama	Anonymous	7244ms	48.9%	7 days
194.102.180.148	3128	HTTP	Romania	Anonymous	34ms	100%	2 hours
204.137.250.6	3129	HTTP	United States	Anonymous	364ms	48.2%	5 hours
120.26.121.156	3128	HTTP	China	Anonymous	4283ms	30.4%	8 minutes
43.255.113.232	86	HTTP	Cambodia	Elite	1252ms	36.4%	13 minutes
120.195.150.91	9091	HTTP	China	Elite	2906ms	37.7%	11 minutes
123.182.48.237	9002	HTTP	China	Elite	5883ms	53.2%	8 minutes
60.189.129.236	8085	HTTP	China	Elite	2003ms	87.9%	4 hours
123.207.26.110	7777	HTTP	China	Elite	1033ms	64.8%	2 hours
183.221.242.111	8443	HTTP	China	Elite	994ms	84.8%	20 minutes
184.170.248.5	4145	Socks5	United States	Elite	858ms	92.6%	41 minutes
183.215.172.2	9091	HTTP	China	Elite	1576ms	51.8%	43 minutes
43.230.156.237	5678	Socks4	India	Elite	4163ms	36.7%	10 minutes
125.66.100.112	9091	HTTP	China	Elite	1200ms	94.4%	7 hours
103.134.177.182	8888	HTTP	Unkown	Elite	867ms	42.4%	7 minutes
190.124.166.227	999	HTTP	Honduras	Anonymous	5615ms	81.7%	33 minutes
130.41.109.158	8080	HTTP	United States	Elite	394ms	68.5%	21 minutes
103.152.9.130	80	HTTP	Unkown	Elite	864ms	99.8%	4 hours
69.94.136.71	8443	HTTP	United States	Anonymous	702ms	67.6%	52 minutes
193.138.178.6	8282	HTTP	Russian Federation	Anonymous	1601ms	35.3%	6 minutes
123.54.16.53	9002	HTTP	China	Elite	1338ms	41.1%	8 minutes
120.236.66.134	9002	HTTP	China	Elite	958ms	47.1%	1 hour
103.152.9.158	80	HTTP	Unkown	Elite	972ms	98.3%	5 hours
123.57.20.192	8080	HTTP	China	Anonymous	4176ms	41.7%	25 minutes
184.181.217.201	4145	Socks4	United States	Elite	785ms	95.7%	46 minutes
190.30.227.13	8080	HTTP	Argentina	Anonymous	2515ms	47.9%	10 minutes
43.255.113.232	8085	HTTP	Cambodia	Elite	3373ms	36.7%	8 minutes
184.170.245.148	4145	Socks5	United States	Elite	852ms	92.5%	1 hour
202.173.214.73	80	HTTP	Thailand	Anonymous	3849ms	52.8%	11 minutes
202.110.67.141	9091	HTTP	China	Elite	931ms	97.4%	10 hours
123.157.233.138	9091	HTTP	China	Elite	891ms	75.2%	23 minutes
101.68.16.71	8085	HTTP	China	Elite	848ms	93.1%	6 hours
61.53.66.116	9091	HTTP	China	Elite	841ms	91.1%	18 hours
146.59.243.214	80	HTTP	Norway	Elite	4679ms	35.4%	14 minutes
184.181.217.201	4145	Socks5	United States	Elite	1932ms	87.3%	1 hour
64.225.4.85	9968	HTTP	Canada	Elite	1420ms	33.2%	8 minutes
183.173.130.22	4780	HTTP	China	Elite	2496ms	74.8%	23 minutes
122.5.23.14	9002	HTTP	China	Elite	1063ms	49.7%	9 minutes
72.210.221.223	4145	Socks4	United States	Elite	1802ms	95%	21 minutes
64.225.4.85	9977	HTTP	Canada	Elite	1634ms	32.5%	8 minutes
182.61.201.201	80	HTTP	China	Elite	777ms	59.5%	5 hours
121.31.35.98	9091	HTTP	China	Elite	682ms	98.2%	4 hours
101.200.220.107	8080	HTTP	China	Elite	888ms	49.6%	10 minutes
120.55.241.143	80	HTTP	China	Anonymous	4427ms	32.8%	15 minutes
123.159.127.188	8085	HTTP	China	Elite	883ms	92.6%	5 hours
120.37.121.209	9091	HTTP	China	Elite	1092ms	81.5%	1 hour
13.68.223.77	3128	HTTP	United States	Anonymous	1528ms	60%	10 minutes
201.91.82.155	3128	HTTP	Brazil	Anonymous	1714ms	44%	9 minutes
123.163.52.24	9091	HTTP	China	Elite	1149ms	97.8%	6 hours
120.236.67.189	9002	HTTP	China	Elite	1751ms	47.8%	12 minutes
120.224.145.187	9091	HTTP	China	Elite	1200ms	97.3%	3 hours
140.206.62.198	9002	HTTP	China	Elite	835ms	98.5%	7 hours
64.225.4.85	9967	HTTP	Canada	Elite	4837ms	36.8%	7 minutes
122.3.41.154	8090	HTTP	Philippines	Anonymous	3280ms	43.5%	13 minutes
103.92.26.190	4002	HTTP	Vietnam	Elite	4458ms	53.8%	23 minutes
60.187.88.41	8085	HTTP	China	Elite	1722ms	91%	8 hours
192.111.130.2	4145	Socks4	United States	Elite	713ms	83.9%	11 minutes
120.197.40.219	9002	HTTP	China	Elite	938ms	57.3%	2 hours
183.230.162.122	9091	HTTP	China	Elite	2042ms	50.8%	12 minutes
64.225.4.17	9968	HTTP	Canada	Elite	982ms	41.2%	8 minutes
202.173.214.76	80	HTTP	Thailand	Anonymous	4896ms	58.9%	10 minutes
20.69.79.158	8443	HTTP	United States	Elite	1260ms	71.6%	23 minutes
120.37.177.50	9091	HTTP	China	Elite	988ms	68%	32 minutes
64.225.4.17	9986	HTTP	Canada	Elite	4410ms	35.7%	15 minutes
102.68.85.187	8080	HTTP	Unkown	Elite	497ms	37.8%	2 hours
183.222.217.168	9091	HTTP	China	Elite	1134ms	98.7%	5 hours
64.225.4.17	9964	HTTP	Canada	Elite	2601ms	52.7%	9 minutes
201.218.42.204	1994	HTTP	Ecuador	Anonymous	2241ms	62.5%	11 minutes
184.181.217.210	4145	Socks5	United States	Elite	1959ms	83.9%	1 hour
43.255.113.232	8080	HTTP	Cambodia	Elite	4046ms	37.9%	11 minutes
190.110.99.189	999	HTTP	Chile	Anonymous	2109ms	52.7%	16 minutes
103.152.9.151	80	HTTP	Unkown	Elite	874ms	99%	2 hours
120.197.219.82	9091	HTTP	China	Elite	937ms	92.8%	9 hours
120.194.4.157	5443	HTTP	China	Elite	940ms	98.2%	9 hours
45.6.38.24	8080	HTTP	Brazil	Anonymous	2671ms	34.4%	9 minutes
180.184.49.178	80	HTTP	China	Elite	1031ms	82.5%	1 hour
123.56.173.64	80	HTTP	China	Elite	935ms	95%	17 minutes
134.209.108.182	8888	HTTP	United States	Elite	645ms	58.8%	28 minutes
125.17.80.229	8080	HTTP	India	Elite	2536ms	99.7%	7 hours
183.239.226.45	9002	HTTP	China	Elite	5532ms	47.1%	58 minutes
192.111.137.35	4145	Socks4	United States	Elite	708ms	83.8%	15 minutes
64.225.4.85	9996	HTTP	Canada	Elite	6803ms	33.7%	13 minutes
120.194.4.155	5443	HTTP	China	Elite	932ms	99.7%	9 hours
61.74.189.86	1080	Socks5	Korea	Elite	1467ms	87%	11 minutes
64.225.4.85	9952	HTTP	Canada	Elite	8078ms	34.5%	9 minutes
152.70.137.111	8080	HTTP	United States	Elite	598ms	97.2%	3 hours
103.183.113.52	3128	HTTP	Unkown	Anonymous	3796ms	33.4%	7 minutes
183.64.115.112	9091	HTTP	China	Elite	1112ms	96.8%	10 hours
194.102.180.147	3128	HTTP	Romania	Anonymous	62ms	100%	2 hours
191.52.251.60	3128	HTTP	Brazil	Anonymous	1258ms	91.2%	18 hours
60.6.237.112	9002	HTTP	China	Elite	1158ms	96.5%	10 hours
61.111.38.5	80	HTTP	Korea	Elite	1105ms	82.7%	6 hours
64.225.4.85	9963	HTTP	Canada	Elite	8969ms	38.6%	7 minutes
123.159.126.27	8085	HTTP	China	Elite	883ms	97.7%	8 hours
193.175.196.212	3128	HTTP	Germany	Anonymous	53ms	79.8%	11 minutes
45.119.82.101	3333	HTTP	Vietnam	Anonymous	693ms	39.7%	5 hours
183.172.246.29	4780	HTTP	China	Elite	2720ms	33.6%	23 minutes
184.178.172.23	4145	Socks4	United States	Elite	2798ms	95.8%	3 hours
103.149.146.34	80	HTTP	Unkown	Elite	405ms	56.2%	40 minutes
192.111.138.29	4145	Socks5	United States	Elite	857ms	72.5%	16 minutes
103.210.57.243	80	HTTP	Bangladesh	Elite	342ms	92.4%	14 minutes
41.129.53.251	8080	HTTP	Egypt	Anonymous	725ms	83.2%	7 minutes
184.178.172.3	4145	Socks4	United States	Elite	2798ms	95.7%	1 hour
201.71.2.49	999	HTTP	Unkown	Anonymous	2324ms	37.5%	13 minutes
72.195.114.169	4145	Socks5	United States	Elite	3419ms	66.2%	6 hours
103.117.192.14	80	HTTP	Bangladesh	Elite	395ms	78.8%	1 day
123.159.127.74	8085	HTTP	China	Elite	925ms	98.2%	10 hours
120.234.203.171	9002	HTTP	China	Elite	1360ms	97.1%	6 hours
61.183.234.226	9091	HTTP	China	Elite	1014ms	49.5%	11 hours
183.173.169.97	4780	HTTP	China	Elite	3975ms	94.8%	37 minutes
72.195.114.184	4145	Socks5	United States	Elite	1947ms	67.8%	30 minutes
125.17.80.226	8080	HTTP	India	Elite	735ms	99.4%	6 days
43.255.113.232	8086	HTTP	Cambodia	Elite	3363ms	41%	9 minutes
42.248.122.147	1080	HTTP	China	Elite	1006ms	80.8%	5 hours
185.105.102.179	80	HTTP	Iran	Elite	328ms	39%	4 hours
183.233.169.226	9091	HTTP	China	Elite	1081ms	88.4%	8 hours
142.54.229.249	4145	Socks5	United States	Elite	4216ms	90%	30 minutes
142.54.231.38	4145	Socks5	United States	Elite	3040ms	93.5%	60 minutes
121.204.165.184	9002	HTTP	China	Anonymous	808ms	84.9%	3 hours
143.198.241.47	80	HTTP	United States	Elite	9080ms	31.8%	7 minutes
184.170.249.65	4145	Socks4	United States	Elite	718ms	94.1%	2 hours
61.158.175.38	9002	HTTP	China	Elite	846ms	97.6%	7 hours
181.170.177.155	5678	Socks4	Argentina	Elite	2363ms	32.9%	23 minutes
